branchId,branchName,branchAddress
1449,replace,69786 Shasta Terrace
7416,replace,44 Sutherland Drive
9236,replace,706 Crest Line Trail
9424,replace,57681 Morningstar Place
8955,replace,63135 Barnett Road
3187,replace,968 Vermont Park
1387,replace,3 Chinook Drive
6837,replace,6855 Longview Circle
0019,replace,38909 Merrick Place
7849,replace,429 Hintze Park
2238,replace,57 Mcbride Park
3701,replace,9 Aberg Avenue
3722,replace,9 Eastlawn Way
9206,replace,6667 Hintze Crossing
9055,replace,6795 Westridge Court
4797,replace,9 Northview Avenue
4879,replace,1 Acker Crossing
2700,replace,421 Stang Street
5093,replace,104 Grover Crossing
5563,replace,664 Little Fleur Junction
3961,replace,622 Eagan Drive
9796,replace,3 Evergreen Terrace
7993,replace,71271 Gateway Point
6184,replace,85 Farwell Street
6094,replace,4 Bartillon Alley
8284,replace,3698 Cody Avenue
5852,replace,565 Muir Lane
4702,replace,1 Elgar Junction
3590,replace,803 Eastlawn Hill
0013,replace,616 High Crossing Junction
9103,replace,9 Bunker Hill Hill
7931,replace,9 Bashford Pass
9847,replace,30 Oriole Park
2422,replace,3005 Dottie Center
3166,replace,94 Fairfield Crossing
4211,replace,0 Packers Drive
6263,replace,9531 Morrow Street
4805,replace,859 American Alley
3358,replace,6 Bluejay Road
9191,replace,85571 Garrison Alley
1976,replace,9 Banding Parkway
5617,replace,34 Independence Terrace
3836,replace,3 American Plaza
7128,replace,347 Meadow Vale Lane
2113,replace,719 Boyd Parkway
4141,replace,53 Warner Hill
1567,replace,8991 La Follette Crossing
5421,replace,15 Valley Edge Alley
2505,replace,6 Maryland Road
6399,replace,1 Carioca Road
9284,replace,3486 Spohn Trail
4862,replace,0296 Mendota Crossing
6887,replace,3 Mandrake Plaza
9760,replace,05267 Meadow Vale Trail
1821,replace,101 Loftsgordon Circle
4886,replace,3 Prentice Pass
8925,replace,1709 Banding Street
7194,replace,8069 Luster Pass
9019,replace,85270 Buell Terrace
9095,replace,247 Lake View Court
2417,replace,31 Harper Way
7540,replace,5682 Farmco Lane
8506,replace,53 Hanson Pass
4466,replace,828 Westend Street
3901,replace,26726 Haas Alley
3438,replace,66046 Moulton Avenue
6172,replace,14 Cordelia Street
2483,replace,572 Scoville Circle
4791,replace,202 Messerschmidt Trail
4376,replace,2 Dennis Circle
4572,replace,738 Dovetail Center
0365,replace,1035 Thackeray Place
8192,replace,05 Messerschmidt Park
1585,replace,312 Waxwing Circle
3964,replace,0 Anniversary Circle
7370,replace,87005 Delaware Pass
9291,replace,6 Troy Pass
6466,replace,113 Brickson Park Court
2850,replace,62683 Havey Street
1672,replace,3 Sheridan Trail
2917,replace,7 Granby Place
1915,replace,3187 Mayer Court
8441,replace,1 Northview Junction
4777,replace,8 Eggendart Circle
4818,replace,99919 Luster Court
0755,replace,146 Union Parkway
7649,replace,68 Declaration Terrace
5526,replace,7 Dixon Place
6733,replace,720 Tennessee Hill
8722,replace,5 Holy Cross Parkway
2541,replace,97525 Ryan Junction
